model,split,class,precision,recall,specificity,f1
resnext,val,Covid-19,0.71875,0.69,0.865,0.7040816326530612
resnext,val,Normal,0.6440677966101694,0.76,0.79,0.6972477064220184
resnext,val,Pneumonia,0.8255813953488372,0.71,0.925,0.7634408602150538
resnext,test,Covid-19,0.15789473684210525,0.014492753623188406,0.961352657004831,0.02654867256637168
resnext,test,Normal,0.6233766233766234,0.463768115942029,0.8599033816425121,0.5318559556786703
resnext,test,Pneumonia,0.3325892857142857,0.7198067632850241,0.2777777777777778,0.4549618320610687
densenet,val,Covid-19,0.6016949152542372,0.71,0.765,0.6513761467889908
densenet,val,Normal,0.6095238095238096,0.64,0.795,0.624390243902439
densenet,val,Pneumonia,0.8051948051948052,0.62,0.925,0.7005649717514124
densenet,test,Covid-19,0.8446601941747572,0.8405797101449275,0.9227053140096618,0.8426150121065376
densenet,test,Normal,0.48704663212435234,0.45410628019323673,0.7608695652173914,0.4700000000000001
densenet,test,Pneumonia,0.5225225225225225,0.5603864734299517,0.7439613526570048,0.5407925407925408
inception,val,Covid-19,0.2523364485981308,0.27,0.6,0.26086956521739135
inception,val,Normal,0.4380165289256198,0.53,0.66,0.4796380090497738
inception,val,Pneumonia,0.3333333333333333,0.24,0.76,0.27906976744186046
inception,test,Covid-19,0.27647058823529413,0.22705314009661837,0.7028985507246377,0.2493368700265252
inception,test,Normal,0.3487179487179487,0.3285024154589372,0.6932367149758454,0.3383084577114428
inception,test,Pneumonia,0.49609375,0.6135265700483091,0.6884057971014492,0.548596112311015
