model,split,class,precision,recall,specificity,f1
ResNeXt50,val,Covid-19,0.7964601769911505,0.9,0.885,0.8450704225352113
ResNeXt50,val,Normal,0.9176470588235294,0.78,0.965,0.8432432432432432
ResNeXt50,val,Pneumonia,0.9509803921568628,0.97,0.975,0.9603960396039604
ResNeXt50,test,Covid-19,0.7777777777777778,0.2705314009661835,0.961352657004831,0.4014336917562723
ResNeXt50,test,Normal,0.7422680412371134,0.3478260869565217,0.9396135265700484,0.4736842105263158
ResNeXt50,test,Pneumonia,0.3893805309734513,0.8502415458937198,0.3333333333333333,0.5341426403641882
DenseNet161,val,Covid-19,0.7722772277227723,0.78,0.885,0.7761194029850748
DenseNet161,val,Normal,0.9054054054054054,0.67,0.965,0.7701149425287356
DenseNet161,val,Pneumonia,0.76,0.95,0.85,0.8444444444444444
DenseNet161,test,Covid-19,0.8365384615384616,0.4202898550724637,0.9589371980676328,0.5594855305466239
DenseNet161,test,Normal,0.5701754385964912,0.3140096618357488,0.8816425120772947,0.4049844236760124
DenseNet161,test,Pneumonia,0.3870967741935484,0.7536231884057971,0.4033816425120773,0.5114754098360657
InceptionV3,val,Covid-19,0.5067567567567568,0.75,0.635,0.6048387096774194
InceptionV3,val,Normal,0.7475728155339806,0.77,0.87,0.7586206896551724
InceptionV3,val,Pneumonia,0.7755102040816326,0.38,0.945,0.5100671140939598
InceptionV3,test,Covid-19,0.718978102189781,0.9516908212560388,0.8140096618357487,0.8191268191268191
InceptionV3,test,Normal,0.4936708860759494,0.3768115942028985,0.8067632850241546,0.4273972602739726
InceptionV3,test,Pneumonia,0.6084656084656085,0.5555555555555556,0.821256038647343,0.5808080808080808
Ensemble,val,Covid-19,0.7758620689655172,0.9,0.87,0.8333333333333334
Ensemble,val,Normal,0.9302325581395348,0.8,0.97,0.8602150537634408
Ensemble,val,Pneumonia,0.9489795918367347,0.93,0.975,0.9393939393939392
Ensemble,test,Covid-19,0.9024390243902439,0.714975845410628,0.961352657004831,0.7978436657681941
Ensemble,test,Normal,0.6548672566371682,0.357487922705314,0.9057971014492754,0.4625
Ensemble,test,Pneumonia,0.4680232558139535,0.7777777777777778,0.5579710144927537,0.5843920145190562
